Brand,Model,Series,Thickness,Dimensions (WxDxH),Weight,Colors,Operating System,Operating System Type,Display Size,Display Resolution,Pixel Density,Display Type,Display Features,Display Touchscreen,Processor,Clock-speed,Chipset,Cache,Graphic Processor,Capacity,RAM Type,RAM Speed,Memory Slots,Memory Layout,SSD Capacity,SSD Type,Battery Cell,Battery Type,Power Supply,Wireless LAN,Wi-Fi Version,Bluetooth,Bluetooth Version,Other Networking Options,HDMI Ports,USB 2.0 slots,SD Card Reader,Ethernet ports,Headphone Jack,Microphone Jack,Web-cam,Video Recording,Audio Solution,Speakers,Sound Technologies,In-built Microphone,Microphone Type,Pointing device,Keyboard,Fingerprint scanner,Face Recognition,Warranty,Sales Package,Refresh Rate,Brightness,Graphics Memory,Expandable Memory,Thunderbolt Port,VGA Port,Backlit Keyboard,HDD Capacity,HDD Speed(RPM),HDD Type,USB 3.0 slots,Secondary cam(Rear-facing),Lockport,Battery Life,USB Type C,Battery Capacity,Aspect Ratio,Number of Cores,SSD Interface,Fast Charging Support,market_status,Price (Rs)
HP,240 (K1C59PA),240,35.8 Millimeter thickness,376 x 247 x 35.8  mm,2.4 Kg weight,Black,DOS,64-bit,14.0 Inches (35.56 cm),1366 x 768 Pixels,112 ppi,LED,HD LED Backlit Anti-Glare Display,No,Intel Core i3-4005U,1.7 Ghz,Intel HM75 Express,3 MB,Intel HD 4000,4 GB,DDR3,1600 Mhz,2 DIMM,1 x 4 Gigabyte,,,6 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,,,,1,3.0,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,Altec Lansing Speakers,,Yes,,Touchpad with Multi-touch Gesture Support,Standard Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,8 GB,,Yes,,500 GB,5400 RPM,SATA,,No,Yes,3 Hrs,,,,,,,Out of Stock,28500.0
HP,15-af006AX (M9V38PA),Pavilion,24.3 Millimeter thickness,384 x 254 x 24.3  mm,2.14 Kg weight,Silver,DOS,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD LED Backlit Widescreen BrightView Display,No,AMD Quad-Core A8-7410M,2.2 Ghz,,4 MB,AMD Radeon R5 M330,4 GB,DDR3,1600 Mhz,2 DIMM,1 x 4 Byte,,,4 Cell,Li-Ion,,802.11 b/g/n,4.0,Yes,4.0,,1,2.0,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,2 x Stereo Speakers,DTS Sound+,Yes,Digital Microphone,Touchpad with Multi-touch Gesture support,Full-size island-style with numeric keypad,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,8 GB,,,,500 GB,5400 RPM,SATA,1.0,No,Yes,,,,,,,,Out of Stock,28690.0
HP,15-ba007au (W6T49PA),,24.3 Millimeter thickness,384 x 254 x 24.3  mm,2.1 Kg weight,Silver,DOS,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD SVA BrightView WLED-backlit display,No,AMD Quad-Core E2-7110,1.8 Ghz,,2 MB,AMD Radeon R2,4 GB,DDR3,1600 Mhz,2 DIMM,1 x 4 Gigabyte,,,4 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,SD media card reader,1,2.0,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,Dual speakers,DTS Studio Sound,Yes,Digital microphone,Touchpad with Multi-touch Gestures Support,Full-size island-style keyboard,No,,,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,500 GB,5400 RPM,SATA,1.0,No,Yes,,,,,,,,Out of Stock,20990.0
Asus,GA401QH-BM070TS,ROG Zephyrus G14,17.9 Millimeter thickness,324 x 220 x 17.9  mm,1.6 Kg weight,Moonlight White,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,,Full HD IPS LED Backlit Anti-glare Display,No,AMD Octa Core Ryzen 7 5800HS,3.0 Ghz,,16 MB,NVIDIA GeForce GTX 1650,8 GB,DDR4,,1,1x8 Gigabyte,512 GB,,4 Cell,Li-Ion,76 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.1,,1,,,,Yes,Yes,,,,Dual Speakers,"Smart AMP Technology, Dolby Atmos Software",Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Gaming Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",60 Hz,,4 GB,,,,"Yes, Gaming Backlit Keyboard",,,,1.0,,,,2.0,76 WHrs,,,NVMe PCIe,,Out of Stock,90590.0
Infinix,YL613 (71008301768),INBook Y3 Max,17.9 Millimeter thickness,357.3 x 248.8 x 17.9  mm,1.78 Kg weight,Silver,Windows 11 Professional,,16 Inches (40.64 cm),1920 x 1200 Pixels,142 ppi,IPS LCD,Full HD Display   Anti Glare Peak Brightness   NTSC 60%,No,Intel Core i3-1215U (12th Gen),4.4 Ghz,,10 MB,Intel UHD,16 GB,LPDDR4X,,1,1*16 Gigabyte,512 GB,,,,65 W,802.11 b/g/n/ax,6.0,Yes,5.2,,1,,,,Yes,Yes,Yes,1080p FHD,DTS Audio Processing,Built In Speakers,,Yes,2 x D- Mic,,,,Yes,1 Year,"Laptop, Power Adapter, User Manual, Warranty Card",,300 nits,,,,No,"Yes, Backlit",,,,2.0,,,8 Hrs,2.0,70 WHrs,16:10,6.0,,Yes,Out of Stock,25990.0
HP,15-ba021ax (X9K12PA),,24.3 Millimeter thickness,384 x 254 x 24.3  mm,2.19 Kg weight,Grey,DOS,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD SVA BrightView WLED-backlit display,No,AMD Quad-Core A10-9600P,2.4 Ghz,,2 MB,AMD Radeon R7 M440,4 GB,DDR4,2133 Mhz,,1 x 4 Gigabyte,,,4 Cell,Li-Ion,,802.11 b/g/n,4.0,Yes,4.0,SD media card reader,1,2.0,Yes,,Yes,Yes,Yes,,HD Audio Solution,Dual speakers,DTS Studio Sound,Yes,Digital microphone,Touchpad with Multi-touch Gestures support,Full-size island-style keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,,,,,1 TB,5400 RPM,SATA,1.0,No,Yes,,,,,,,,Out of Stock,32315.0
Infinix,YL613 (71008301767),INBook Y3 Max,17.9 Millimeter thickness,357.3 x 248.8 x 17.9  mm,1.78 Kg weight,Blue,Windows 11 Professional,,16 Inches (40.64 cm),1920 x 1200 Pixels,142 ppi,IPS LCD,Full HD Display   Anti Glare Peak Brightness   NTSC 60%,No,Intel Core i3-1215U (12th Gen),4.4 Ghz,,10 MB,Intel UHD,16 GB,LPDDR4X,,1,1*16 Gigabyte,256 GB,,,,65 W,802.11 b/g/n/ax,6.0,Yes,5.2,,1,,,,Yes,Yes,Yes,1080p FHD,DTS Audio Processing,Built In Speakers,,Yes,2 x D- Mic,,,,Yes,1 Year,"Laptop, Power Adapter, User Manual, Warranty Card",,300 nits,,,,No,"Yes, Backlit",,,,2.0,,,8 Hrs,2.0,70 WHrs,16:10,6.0,,Yes,Out of Stock,24990.0
Infinix,YL613 (71008301484),INBook Y3 Max,17.9 Millimeter thickness,357.3 x 248.8 x 17.9  mm,1.78 Kg weight,Silver,Windows 11 Professional,,16 Inches (40.64 cm),1920 x 1200 Pixels,142 ppi,IPS LCD,Full HD Display   Anti Glare Peak Brightness   NTSC 60%,No,Intel Core i3-1215U (12th Gen),4.4 Ghz,,10 MB,Intel UHD,8 GB,LPDDR4X,,1,1*8 Gigabyte,256 GB,,,,65 W,802.11 b/g/n/ax,6.0,Yes,5.2,,1,,,,Yes,Yes,Yes,1080p FHD,DTS Audio Processing,Built In Speakers,,Yes,2 x D- Mic,,,,Yes,1 Year,"Laptop, Power Adapter, User Manual, Warranty Card",,300 nits,,,,No,"Yes, Backlit",,,,2.0,,,8 Hrs,2.0,70 WHrs,16:10,6.0,,Yes,Out of Stock,23990.0
Infinix,YL613 (71008301487),INBook Y3 Max,17.9 Millimeter thickness,357.3 x 248.8 x 17.9  mm,1.78 Kg weight,Silver,Windows 11 Professional,,16 Inches (40.64 cm),1920 x 1200 Pixels,142 ppi,IPS LCD,Full HD Display   Anti Glare Peak Brightness   NTSC 60%,No,Intel Core i5-1235U (12th Gen),4.4 Ghz,,12 MB,Intel UHD,16 GB,LPDDR4X,,1,1*16 Gigabyte,512 GB,,,,65 W,802.11 b/g/n/ax,6.0,Yes,5.2,,1,,,,Yes,Yes,Yes,1080p FHD,DTS Audio Processing,Built In Speakers,,Yes,2 x D- Mic,,,,Yes,1 Year,"Laptop, Power Adapter, User Manual, Warranty Card",,300 nits,,,,No,"Yes, Backlit",,,,2.0,,,8 Hrs,2.0,70 WHrs,16:10,10.0,,,Out of Stock,29990.0
Asus,S510UN-EH76,VivoBook 15,17.9 Millimeter thickness,361.4 x 243.5 x 17.9  mm,1.7 Kg weight,Gold,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Wideview Anti-glare Display,No,Intel Core i7-8550U (8th Gen),1.8 Ghz,,8 MB,NVIDIA Geforce MX150,8 GB,DDR4,2133 Mhz,1,1x8 Gigabyte,256 GB,,3 Cell,Li-Po,42 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.1,Multi-Format SD Media Card Reader,1,2.0,Yes,1.0,Yes,Yes,Yes,HD 720p,,Stereo Speakers,ASUS SonicMaster Technology,Yes,Digital Microphone,Touchpad with Multi-touch Gesture Support,Illuminated Chiclet Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,16 GB,,Yes,,1 TB,5400 RPM,SATA,1.0,No,,,,,,,,,Out of Stock,161632.0
Asus,UM5401QA-KM751WS,Zenbook 14X OLED,15.9 Millimeter thickness (Slim),311.2 x 221.1 x 15.9  mm,1.40 Kg weight (Light-weight),Jade Black,Windows 11 Home Basic,,14 Inches (35.56 cm),2880 x 1800 Pixels,243 ppi,OLED,OLED   16:10 Aspect Ratio   LED Backlit   0.2ms Response Time   90Hz Refresh Rate   550nits HDR Peak Brightness   100% DCI-P3 Color Gamut   1  000  000:1   VESA CERTIFIED Display HDR True Black 500   1.07 billion colors   PANTONE Validated   Glossy Display   70% Less Harmful Blue Light   SGS Eye Care Display,No,AMD Octa Core Ryzen 7 - 5800H,3.1 Ghz,,20 MB,AMD Radeon,16 GB,LPDDR4X,,1,1*16 Gigabyte,1 TB,,3 Cell,Li-Ion,100 W,802.11 b/g/n/ax,6.0,Yes,5.0,,1,,Yes,,Yes,Yes,Yes,720p,,Built-In Speakers,,Yes,Built-In Array Microphones,,Chiclet Keyboard,,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",90 Hz,550 nits,,,,No,"Yes, Backlit Chiclet Keyboard",,,,,,,,2.0,,16:10,8.0,,,Out of Stock,69990.0
Lenovo,S340 (81NB005VIN),Ideapad,17.9 Millimeter thickness,323 x 228 x 17.9  mm,1.55 Kg weight,Black,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Full HD LED Backlit Anti-glare TN Display,No,AMD Dual Core Ryzen 3 3200U,2.6 Ghz,,4 MB,AMD Radeon Vega 3,8 GB,DDR4,2133 Mhz,1,1x8 Gigabyte,128 GB,,3 Cell,Li-Ion,65 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.1,Multi-Format SD Media card Reader,1,,Yes,,Yes,Yes,Yes,720p HD,,Dual Speakers,Dolby Audio,Yes,Internal Microphone,Touchpad with multi-touch gesture support,Island-style Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,12 GB,,,,1 TB,5400 RPM,SATA,2.0,No,No,,1.0,,,,,,Out of Stock,52890.0
Asus,X541UV-XO029D,,27.6 Millimeter thickness,381 x 251 x 27.6  mm,2.0 Kg weight,Black,DOS,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD LED backlit Display,No,Intel Core i5-6198DU (6th Gen),2.3 Ghz,,3 MB,Nvidia GeForce 920MX,4 GB,DDR3,,1 SODIMM,1 x 4 Gigabyte,,,3 Cell,Li-Ion,,802.11 b/g/n,4.0,Yes,4.0,Multi-format card reader (SD/SDHC/SDXC),1,1.0,Yes,,Yes,Yes,Yes,,HD Audio Solution,Stereo W Speakers,ASUS SonicMaster Technology,Yes,,Touchpad with Multi-touch Gestures support,Chiclet Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,16 GB,,Yes,,1 TB,5400 RPM,SATA,1.0,No,,,,,,,,,Out of Stock,34990.0
HP,x360 11-k107TU (P3C91PA),Pavilion,22.5 Millimeter thickness,306 x 208 x 22.5  mm,1.4 Kg weight (Light-weight),Silver,Windows 10,64-bit,11.6 Inches (29.46 cm),1366 x 768 Pixels,135 ppi,LED,HD WLED Backlit Anti Glare Widescreen Display,Yes,Intel Pentium Quad-Core N3700,1.6 Ghz,,2 MB,Intel HD,4 GB,DDR3,1600 Mhz,1 DIMM,1 x 4 Gigabyte,,,2 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,,1,1.0,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,Dual Speakers,Bang and Olufsen,Yes,,HP Imagepad with Multi-touch Gesture Support,Full size Textured Island-style Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,8 GB,,,,500 GB,5400 RPM,SATA,2.0,No,Yes,,,,,,,,Out of Stock,33424.0
Asus,A555LF-XX409D,A,25.8 Millimeter thickness,382 x 256 x 25.8  mm,2.3 Kg weight,Black,DOS,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD LED Backlight Asus Splendid Video Intelligent Technology,No,Intel Core i3-5005U (5th Gen),2.0 Ghz,,3 MB,Intel HD 5500,4 GB,DDR3,,2 DIMM,1 x 4 Gigabyte,,,2 Cell,Li-Po,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,,1,1.0,Yes,,Yes,Yes,Yes,,HD Audio Solution,Stereo Speakers,"ASUS SonicMaster Technology, ICE Power support",Yes,,Touchpad with Multi-touch Gestures support,Chiclet keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,Yes,,1 TB,5400 RPM,SATA,2.0,No,,,,,,,,,Out of Stock,29000.0
Asus,X553MA-XX063D,X,25.2 Millimeter thickness,280 x 253 x 25.2  mm,2.2 Kg weight,Black,DOS,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD LED Display,No,Intel Pentium Quad Core N3530,2.1 Ghz,,2 MB,Intel HD,2 GB,DDR3,,2 DIMM,1 x 2 Gigabyte,,,2 Cell,Li-Ion,,802.11 b/g/n,4.0,Yes,4.0,,1,2.0,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,Stereo Speakers,Asus SonicMaster,Yes,,Touchpad with Multi-touch Gesture Support,Standard Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,Yes,,500 GB,5400 RPM,SATA,1.0,No,Yes,,,,,,,,Out of Stock,30131.0
Dell,7420 (D560780WIN9S),Inspiron 14,17.8 Millimeter thickness,314 x 227.5 x 17.8  mm,1.57 Kg weight,Platinum Silver,Windows 11 Home Basic,,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,,FHD+ display with a 16:10 aspect ratio that is 5.6% larger than a standard,Yes,Intel Core i3-1215U (12th Gen),4.8 Ghz,,,Intel UHD,8 GB,DDR4,3200 Mhz,1,1*8 Gigabyte,256 GB,,4 Cell,Li-Ion,65 W,802.11 a/b/g/n/ac,5.0,Yes,,,1,,Yes,,Yes,Yes,Yes,720,,Built-in Speaker,Waves Maxx Audio Pro,Yes,Built-in microphone,Touchpad,English International Keyboard With Biometric Fingerprint Reader,Yes,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",60 Hz,,,,,,"Yes, English International backlit Keyboard With Biometric Fingerprint Reader",,,,,,,,2.0,,,,,,Out of Stock,56490.0
Asus,R558UR-DM069D,R,25.8 Millimeter thickness,382 x 256 x 25.8  mm,2.4 Kg weight,Dark Brown,DOS,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Anti Glare Display,No,Intel Core i5-6200U (6th Gen),2.3 Ghz,,3 MB,Nvidia GeForce 930M,4 GB,DDR3,1600 Mhz,1 DIMM,1 x 4 Gigabyte,,,2 Cell,Li-Po,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,SD Card Reader,1,1.0,Yes,1.0,Yes,Yes,Yes,720p HD,HD Audio Solution,Stereo Speakers,SonicMaster Bang and Olufsen,Yes,,Touchpad with Multi-touch Gestures Support,Chiclet Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,8 GB,,Yes,,1 TB,5400 RPM,SATA,1.0,No,Yes,4.5 Hrs,,,,,,,Out of Stock,41351.0
HP,15-BA025AU (X5Q25PA),,24.3 Millimeter thickness,384 x 254 x 24.3  mm,2.1 Kg weight,Silver,DOS,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD SVA BrightView WLED-backlit display,No,AMD Quad-Core A6-7310,2.0 Ghz,,2 MB,AMD Radeon R4,4 GB,DDR3,1600 Mhz,,1 x 4 Gigabyte,,,4 Cell,Li-Ion,,802.11 b/g/n,4.0,Yes,4.0,SD media card reader,1,2.0,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,Dual speakers,DTS Studio Sound,Yes,,Touchpad with Multi-touch Gestures Support,Full-size island-style keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,500 GB,5400 RPM,SATA,1.0,No,Yes,,,,,,,,Out of Stock,20891.0
HP,15-p073TX (J6L90PA),Pavilion,23.9 Millimeter thickness,384 x 260 x 23.9  mm,2.2 Kg weight,Silver,Windows 8.1,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD BrightView WLED-backlit Display,No,Intel Core i7-4510U,2.0 Ghz,Intel HM76 Expres,4 MB,NVIDIA GeForce 840M,8 GB,DDR3,1600 Mhz,2 SODIMM,1 x 8 Gigabyte,,,4 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,,1,,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,Stereo Speakers,Beats Audio with 2 speakers,Yes,Dual Array Digital Microphone,HP Imagepad with multi-touch gesture support,Full-size textured island-style with numeric keypad,Yes,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,,,,,1 TB,5400 RPM,SATA,2.0,No,Yes,,,,,,,,Out of Stock,62890.0
HP,15-g002AX (G8D84PA),Pavilion,25.4 Millimeter thickness,377.95 x 259.08 x 25.4  mm,2.23 Kg weight,Sparkling Black,Windows 8.1,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD BrightView LED Backlit Wide Screen Display,No,AMD APU A8-6410,2.4 Ghz,,2 MB,AMD Radeon HD 8570M,4 GB,DDR3,,1,1 x 4 Gigabyte,,,4 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,Micro Slot Card (3-in1) Reader,1,2.0,,2.0,Yes,Yes,Yes,24 fps,HD Audio Solution,Dual Speakers,,Yes,Single Digital Microphone,Touchpad with Windows 8 Multi-touch Gesture Support,Full-size Textured Island Style Keyboard with Numeric Keypad,,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,8 GB,,Yes,,1 TB,5400 RPM,SATA,1.0,,Yes,,,,,,,,Out of Stock,33990.0
Asus,X507UA- EJ562T,Vivobook,21.9 Millimeter thickness,365 x 266 x 21.9  mm,1.68 Kg weight,Stary Grey,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED-backlit 60Hz Anti-Glare Panel with 45% NTSC With ASUS Splendid,No,Intel Core i5-8250U (8th Gen),1.6 Ghz,,6 MB,Intel HD 520,8 GB,DDR4,2133 Mhz,1,1x8 Gigabyte,,,3 Cell,Li-Ion,33 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,Multi-Format SD Media card Reader,1,2.0,Yes,,Yes,Yes,Yes,720p HD,,Dual Speakers,Asus Sonic Master Technology,Yes,Internal Microphone,Touchpad with multi-touch gesture support,Chiclet keyboard,Yes,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,1 TB,5400 RPM,SATA,1.0,No,No,,,,,,,,Out of Stock,40780.0
Lenovo,300 (80M1003WIN),Ideapad Yoga,21.8 Millimeter thickness,299 x 209 x 21.8  mm,1.3 Kg weight (Light-weight),White,Windows 10,64-bit,11.6 Inches (29.46 cm),1366 x 768 Pixels,135 ppi,LED,HD WLED Backlit TN Glare Flat eDP Display,No,Intel Pentium Quad-Core N3700,1.6 Ghz,,2 MB,Intel HD 4400,4 GB,DDR3,1600 Mhz,1 DIMM,1 x 4 Gigabyte,8 GB,,2 Cell,Li-Ion,45 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,,1,1.0,Yes,1.0,Yes,Yes,Yes,720p HD,HD Audio Solution,Dolby Stereo Speakers,Dolby Home Theater,Yes,Dual Microphone,Touchpad with Multi-touch Gesture Support,Standard Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,8 GB,,No,,500 GB,5400 RPM,SATA,1.0,No,Yes,4.5 Hrs,,,,,,,Out of Stock,30956.0
Lenovo,G50-45 (80E3014FIN),essential G,25.0 Millimeter thickness,384 x 265 x 25.0  mm,2.5 Kg weight,Black,Windows 8.1,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD TN GL Flat Display,No,AMD Quad Core A8-6410,2.0 Ghz,,2 MB,Radeon R5,4 GB,DDR3,1600 Mhz,2 DIMM,1 x 4 Gigabyte,,,4 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,,1,2.0,Yes,1.0,Yes,Yes,Yes,720p HD,HD Audio Solution,2 x 1.5 W Speakers,Dolby Advanced Audio V2,Yes,,Touchpad with Multi-touch Gesture Support,Standard Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,16 GB,,Yes,,500 GB,5400 RPM,SATA,1.0,No,,4 Hrs,,,,,,,Out of Stock,25890.0
HP,15-N259TX (G2H01PA),Pavilion,22.6 Millimeter thickness,385 x 258 x 22.6  mm,2.3 Kg weight,Black,Windows 8.1,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD BrightView LED-backlit Display,No,Intel Core i3-4010U (4th Gen),1.7 Ghz,Intel QM87 Express,3 MB,AMD Radeon HD 8670M,4 GB,DDR3,1600 Mhz,2 SODIMM,1 x 4 Gigabyte,,,4 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,,1,,Yes,1.0,Yes,Yes,Yes,,,Dual Speakers,DTS Sound+,Yes,Dual Array Digital Microphone,Touchpad with Multi-touch Gesture Support,Island-style Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,8 GB,,,,500 GB,5400 RPM,SATA,2.0,No,,,,,,,,,Out of Stock,39390.0
Asus,A555LF-XX362T,A,25.8 Millimeter thickness,382 x 256 x 25.8  mm,2.3 Kg weight,Glossy Dark Brown,Windows 10,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD LED Backlit Slim Glare Display,No,Intel Core i3-5010U (5th Gen),2.1 Ghz,,3 MB,NVIDIA GeForce 930M,4 GB,DDR3,,2 DIMM,1 x 4 Gigabyte,,,2 Cell,Li-Po,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,SD card reader,1,1.0,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,Stereo Speakers,SonicMaster,Yes,,Touchpad with Multi-touch Gesture Support,Chiclet Keyboard,No,,2 Years,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,,,,,1 TB,5400 RPM,SATA,2.0,No,,,,,,,,,Out of Stock,42000.0
HP,15-ay007tx (W6T44PA),,24.3 Millimeter thickness,384 x 254 x 24.3  mm,2.1 Kg weight,Silver,DOS,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,FHD anti-glare WLED-backlit display,No,Intel Core i5-6200U (6th Gen),2.3 Ghz,,3 MB,AMD Radeon R5 M430,4 GB,DDR4,2133 Mhz,2 DIMM,1 x 4 Gigabyte,,,4 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,SD Card reader,1,2.0,Yes,1.0,Yes,Yes,Yes,,HD Audio Solution,Dual Speakers,DTS Studio Sound,Yes,Digital Microphone,Touchpad with Multi-touch Gestures Support,Full-size island-style keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,16 GB,,,,1 TB,5400 RPM,SATA,1.0,No,Yes,4 Hrs,,,,,,,Out of Stock,42400.0
Asus,X512FA-EJ550T,VivoBook 15,19.9 Millimeter thickness,357 x 230 x 19.9  mm,1.70 Kg weight,Slate Grey,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Anti-glare NanoEdge Display,No,Intel Core i3-8145U (8th Gen),2.1 Ghz,,4 MB,Intel UHD 620,4 GB,DDR4,2400 Mhz,1,1x4 Gigabyte,256 GB,,2 Cell,Li-Ion,40 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.1,Multi-Format SD Media card Reader,1,2.0,Yes,,Yes,Yes,Yes,720p HD,,Dual Speakers,Sonic Master,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Illuminated Chiclet Keyboard,Yes,No,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,12 GB,,,,,,,,No,,,1.0,,,,,,Out of Stock,33990.0
HP,14q-cs1002tu (7WQ11PA),,19.9 Millimeter thickness,335 x 234 x 19.9  mm,1.47 Kg weight (Light-weight),Black,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,,Diagonal Full HD IPS BrightView micro-edge WLED-backlit Display,No,Intel Core i5-8265U (8th Gen),1.6 Ghz,,6 MB,Intel UHD 620,8 GB,DDR4,2400 Mhz,1,1x8 Gigabyte,256 GB,M.2,3 Cell,Li-Ion,65 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.2,Multi-Format SD Media card Reader,1,1.0,Yes,1.0,Yes,Yes,Yes,720p HD,,Dual Speakers,,Yes,Integrated Digital Microphone,Touchpad with multi-touch gesture support,Full-size island-style keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,,No,,,,41 WHrs,,,NVMe PCIe,,Out of Stock,49990.0
